,adult,id,original_title,popularity,video,tagline,overview,genres_string
0,False,228970,Wild,17.661,False,,A woman with a tragic past decides to start her new life by hiking for one thousand miles on the Pacific Crest Trail.,Drama
1,False,659954,Azor,200.378,False,,"Yvan De Wiel, a private banker from Geneva, is going to an Argentina in the midst of a dictatorship to replace his partner, the object of the most worrying rumours, who disappeared overnight. Between hushed lounges, swimming pools and gardens under surveillance, a remote duel between two bankers who, despite different methods, are the accomplices of a discreet and merciless form of colonization.",Drama
2,False,728118,"Quo Vadis, Aida?",12.921,False,,"Bosnia, July 1995. Aida is a translator for the UN in the small town of Srebrenica. When the Serbian army takes over the town, her family is among the thousands of citizens looking for shelter in the UN camp. As an insider to the negotiations Aida has access to crucial information that she needs to interpret. What is at the horizon for her family and people - rescue or death? Which move should she take?",Drama War
3,False,653762,The Truffle Hunters,7.412,False,,"In the secret forests of Northern Italy, a dwindling group of joyful old men and their faithful dogs search for the world’s most expensive ingredient, the white Alba truffle. Their stories form a real-life fairy tale that celebrates human passion in a fragile land that seems forgotten in time.",Documentary
4,False,542178,The French Dispatch,67.271,False,,"The staff of a European publication decides to publish a memorial edition highlighting the three best stories from the last decade: an artist sentenced to life imprisonment, student riots, and a kidnapping resolved by a chef.",Comedy Drama Romance
5,False,524434,Eternals,3786.236,False,In the beginning...,"The Eternals are a team of ancient aliens who have been living on Earth in secret for thousands of years. When an unexpected tragedy forces them out of the shadows, they are forced to reunite against mankind’s most ancient enemy, the Deviants.",Action Adventure Science Fiction
6,False,846980,Harald Naegeli - Der Sprayer von Zürich,0.775,False,,"The Swiss artist Harald Naegeli became known around the world as the “Sprayer of Zurich” in the late 1970s. With his graffiti he criticized the monotonous, inhospitable cityscape of Zurich, but also the politics and the handling of the environment.  In her sensitive portrait, director Nathalie David shows Harald Naegeli's multifaceted personality - as a visionary, argumentative artist, rebel, philosopher and astute, humorous person.",Documentary
7,False,793937,Die Schule der magischen Tiere,6.401,False,,"Ida is new to town and has a hard time making friends. One day her weird class teacher Miss Cornfield announces that everyone in the class will soon have a magical animal to accompany them. Ida is put to the side of the fox Rabbat. Benni, just like Ida also an outsider, has the turtle Henrietta as a new companion. The animals are something very special: They not only have magical abilities, they can also speak and develop their very own character! Henrietta is slow but wise. Rabbat, on the other hand, is very smart and shrewd. Due to his charismatic nature, Ida quickly becomes the star of the class, everyone is keen to be friends with her. One day there is great excitement in the Winterstein School: A thief is up to mischief and makes things disappear. The children and their magical animals go in search of the perpetrator.",Adventure Family
8,False,438631,Dune,4080.34,False,"Beyond fear, destiny awaits.","Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.",Action Adventure Science Fiction
9,False,587807,Tom & Jerry,311.356,False,Best of enemies. Worst of friends.,"Tom the cat and Jerry the mouse get kicked out of their home and relocate to a fancy New York hotel, where a scrappy employee named Kayla will lose her job if she can’t evict Jerry before a high-class wedding at the hotel. Her solution? Hiring Tom to get rid of the pesky mouse.",Comedy Family Animation
10,False,846964,Und morgen seid ihr tot,2.724,False,,In 2011 the young married Swiss couple Daniela Widmer and David Och got kidnapped while being on a long trip along the old Silk Road in Pakistan. They were hand over to the Taliban and were held as hostages for 8 months under the most precarious conditions.,Drama Thriller
11,False,370172,No Time to Die,507.999,False,The mission that changes everything begins…,"Bond has left active service and is enjoying a tranquil life in Jamaica. His peace is short-lived when his old friend Felix Leiter from the CIA turns up asking for help. The mission to rescue a kidnapped scientist turns out to be far more treacherous than expected, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",Adventure Action Thriller
12,False,630240,Titane,136.418,False,,"A woman with a metal plate in her head from a childhood car accident embarks on a bizarre journey, bringing her into contact with a firefighter who's reunited with his missing son after 10 years.",Drama Thriller Horror
13,False,580489,Venom: Let There Be Carnage,6526.86,False,,"After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.",Science Fiction Action Adventure
14,False,459151,The Boss Baby: Family Business,1009.607,False,Playtime is over.,The Templeton brothers — Tim and his Boss Baby little bro Ted — have become adults and drifted away from each other. But a new boss baby with a cutting-edge approach and a can-do attitude is about to bring them together again … and inspire a new family business.,Animation Comedy Adventure Family
15,False,664698,Contra,5.31,False,,"With his uncouth manner, Professor Pohl doesn’t enjoy the best reputation at the university where he works. To make matters worse, he makes a racist remark when student Naima arrives late for his lecture. Unfortunately for him, a video of his verbal outburst spreads like wildfire on the Internet, and the university’s president, Lambrecht, is called to deal with the incident. But Pohl is not dismissed. Instead, he is put to the task of helping Naima prepare for an important debating competition. The lecturer and the student could not be more different, yet they are thrown together to work as a team.",
16,False,795812,Herr Bachmann und seine Klasse,0.84,False,,Mr. Bachmann And His Class explores the close bond between an elementary school teacher and his students. His unconventional methods clash with the complex social and cultural realities of the provincial German industrial town they live in.,Documentary
17,False,512195,Red Notice,422.831,False,Pro and cons.,"An Interpol-issued Red Notice is a global alert to hunt and capture the world's most wanted. But when a daring heist brings together the FBI's top profiler and two rival criminals, there's no telling what will happen.",Action Comedy Crime Thriller
18,False,482321,Ron's Gone Wrong,376.679,False,Best Friend Forever* (*battery life may vary),"In a world where walking, talking, digitally connected bots have become children's best friends, an 11-year-old finds that his robot buddy doesn't quite work the same as the others do.",Animation Science Fiction Family Comedy
19,False,379686,Space Jam: A New Legacy,708.605,False,Welcome to the Jam!,"When LeBron and his young son Dom are trapped in a digital space by a rogue A.I., LeBron must get them home safe by leading Bugs, Lola Bunny and the whole gang of notoriously undisciplined Looney Tunes to victory over the A.I.'s digitized champions on the court. It's Tunes versus Goons in the highest-stakes challenge of his life.",Animation Comedy Family Science Fiction
20,False,788238,Burning Memories,0.663,False,,,Documentary
21,False,566525,Shang-Chi and the Legend of the Ten Rings,1275.766,False,You can't outrun your destiny.,Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization.,Action Adventure Fantasy
22,False,655379,Die Welt wird eine andere sein,1.19,False,,"Asli and Saeed fall in love in the mid-1990s. Although Asli’s mother is against their relationship, they secretly get married. Then he disappears. A sensitive love story that recounts how Saeed changes Asli’s life – before the entire world is shaken.",Drama
23,False,700066,"Chien pourri, la vie à Paris",1.316,False,,"Once upon a time there was a Parisian dog, naive and passionate, called Chien Pourri (rotten dog). With Chaplapla, his faithful gutter companion, Chien Pourri walks the streets of Paris, truffles blowing in the wind. No matter what disasters it causes, it always gets back on its feet! So much so that other dogs are starting to find it suspicious ... A program of five short films to follow the crazy adventures of Chien Pourri and his friends and introduce the poetry of Paris to the little ones! By the Panic in the Village and the Grand Méchant Renard (Big Bad Fox) teams.",Animation
24,False,642208,Supernova,32.567,False,,"Sam and Tusker, partners of 20 years, are traveling across England in their old RV visiting friends, family and places from their past. Since Tusker was diagnosed with early-onset dementia two years ago, their time together is the most important thing they have.  As the trip progresses, however, their ideas for the future clash, secrets come out, and their love for each other is tested as never before. Ultimately, they must confront the question of what it means to love one another in the face of Tusker’s illness.",Drama Romance
25,False,324284,Lamb,40.786,False,Innocence walks a fine line.,"Lamb, based on the novel by Bonnie Nadzam, traces the self-discovery of David Lamb in the weeks following the disintegration of his marriage and the death of his father. Hoping to regain some faith in his own goodness, he turns his attention to Tommie, an awkward and unpopular eleven-year-old girl. Lamb is convinced that he can help her avoid a destiny of apathy and emptiness, and takes Tommie for a road trip from Chicago to the Rockies, planning to initiate her into the beauty of the mountain wilderness. The journey shakes them in ways neither expects.",Drama
26,False,749004,Petite maman,6.715,False,,"Eight-year-old Nelly has just lost her beloved grandmother and is helping her parents clean out her mother’s childhood home. She explores the house and the surrounding woods where her mum, Marion, used to play and where she built the treehouse Nelly has heard so much about. One day her mother suddenly leaves. That is when Nelly meets a girl of her own age in the woods, building a treehouse.",Drama Fantasy
27,False,581734,Nomadland,40.866,False,See you down the road.,"A woman in her sixties embarks on a journey through the western United States after losing everything in the Great Recession, living as a van-dwelling modern-day nomad.",Drama
28,False,600354,The Father,38.01,False,,"A man refuses all assistance from his daughter as he ages and, as he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",Drama
29,False,617653,The Last Duel,136.346,False,The true story of a woman who defied a nation and made history.,King Charles VI declares that Knight Jean de Carrouges settle his dispute with his squire by challenging him to a duel.,Action Drama History Thriller
30,False,835433,Bekenntnisse des Hochstaplers Felix Krull,2.297,False,,,Drama Comedy
31,False,467384,Dene wos guet geit,1.062,False,,"Using her skills of selling Internet and insurance deals, young call center employee Alice calls up elderly strangers and pretends to be their granddaughter in urgent need of money. As this trick quickly makes her rich, the film observes people and places in Zurich, all mysteriously connected to Alice’s business.",Drama
32,False,744275,After We Fell,746.333,False,,"Just as Tessa's life begins to become unglued, nothing is what she thought it would be. Not her friends nor her family. The only person that she should be able to rely on is Hardin, who is furious when he discovers the massive secret that she's been keeping. Before Tessa makes the biggest decision of her life, everything changes because of revelations about her family.",Romance Drama
33,False,748787,Schachnovelle,3.123,False,He turned resistance into a game,"1938. While the Nazi troops march into Vienna, the lawyer Josef Bartok hastily tries to escape to the USA with his wife but is arrested by the Gestapo. Bartok remains steadfast and refuses to cooperate with the Gestapo that requires confidential information from him. Thrown into solitary confinement, Bartok is psychologically tormented for months and begins to weaken. However, when he steals an old book about chess it sets him on course to overcome the mental suffering inflicted upon him, until it becomes a dangerous obsession.",Drama
34,False,29066,Atlas,2.051,False,"Feared by Every Man, Desired by Every Woman!","Evil king Praximedes convinces superhero Atlas to fight for him, but Atlas eventually sees the king's true nature and turns against him.",Adventure Fantasy Action
35,False,541574,Ghost Fleet,2.909,False,One woman's quest to expose the darkest secret on the sea,"Ghost Fleet follows a small group of activists who risk their lives on remote Indonesian islands to find justice and freedom for the enslaved fishermen who feed the world’s insatiable appetite for seafood. Bangkok-based Patima Tungpuchayakul, a Thai abolitionist, has committed her life to helping these “lost” men return home. Facing illness, death threats, corruption, and complacency, Patima’s fearless determination for justice inspires her nation and the world.",Documentary
36,False,610253,Halloween Kills,1653.046,False,Evil dies tonight.,"Michael Myers escapes from Laurie Strode's trap to continue his ritual bloodbath. Injured and taken to the hospital, Laurie fights through the pain as she inspires residents of Haddonfield, Ill., to rise up against Myers. Taking matters into their own hands, the Strode women and other survivors form a vigilante mob to hunt down Michael and end his reign of terror once and for all.",Horror Thriller
37,False,111,Scarface,50.954,False,The world is yours...,"After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.",Action Crime Drama Thriller
38,False,783459,Nachbarn,0.709,False,,"With a fine sense of humor and satire, the film tells of a childhood, which, between dictatorship and dark drama, also has its light moments. How much friendship, love and solidarity are possible in times of repression and despotism?",Drama
39,False,646207,The Ice Road,176.4,False,This mission is on thin ice.,"After a remote diamond mine collapses in far northern Canada, an ice road driver must lead an impossible rescue mission over a frozen ocean to save the trapped miners.",Action Adventure Drama Thriller
